r      d/dr(Attraction Term)    d/dr(Repulsion Term)
180    7.130465521668004e-09    2.687978609689796e-08
182    6.9746130570596345e-09    2.5147904120862202e-08
184    6.823815066813663e-09    2.3527608418917526e-08
186    6.677855327264519e-09    2.201170941536655e-08
188    6.536529054494209e-09    2.0593480763516943e-08
190    6.39964218565217e-09    1.9266629499537205e-08
192    6.267010712403519e-09    1.80252681193193e-08
194    6.1384600622288044e-09    1.6863888454446754e-08
196    6.013824523689174e-09    1.5777337231351122e-08
198    5.892946712122317e-09    1.4760793205207688e-08
200    5.775677072551082e-09    1.3809745767109195e-08
202    5.661873416871956e-09    1.2919974929593021e-08
204    5.5514004926481004e-09    1.2087532601713857e-08
206    5.444129581064269e-09    1.1308725070575477e-08
208    5.3399381218112815e-09    1.0580096611588836e-08
210    5.238709362858125e-09    9.898414154731699e-09
212    5.140332033242332e-09    9.26065293877116e-09
214    5.044700037165764e-09    8.663983089793781e-09
216    4.951712167825002e-09    8.105757064489805e-09
218    4.86127183953462e-09    7.58349790247458e-09
220    4.773286836819077e-09    7.094888235520563e-09
222    4.68766907925581e-09    6.637760004931547e-09
224    4.604334400949524e-09    6.21008484143318e-09
226    4.523202343606455e-09    5.809965064893284e-09
228    4.4441959622584514e-09    5.435625263936045e-09
230    4.367241642760742e-09    5.085404418087057e-09
232    4.2922689302549665e-09    4.757748527493718e-09
234    4.219210367850889e-09    4.451203717517422e-09
236    4.148001344837031e-09    4.1644097876013865e-09
238    4.0785799537822765e-09    3.8960941757890604e-09
240    4.010886855938252e-09    3.6450663121125085e-09
242    3.9448651543959305e-09    3.410212335795662e-09
244    3.880460274490112e-09    3.1904901528315342e-09
246    3.817619850982275e-09    2.984924812002944e-09
248    3.756293621586293e-09    2.792604178829217e-09
250    3.696433326432693e-09    2.6126748882432776e-09
252    3.637992613095919e-09    2.444338558040416e-09
254    3.580926946835565e-09    2.286848246296904e-09
256    3.525193525726979e-09    2.1395051370395128e-09
258    3.4707512003792344e-09    2.0016554394594303e-09
260    3.4175603979592206e-09    1.8726874869118563e-09
262    3.3655830502599407e-09    1.752029022828893e-09
264    3.3147825255688025e-09    1.639144661502851e-09
266    3.2651235641082493e-09    1.533533512472924e-09
268    3.216572216836201e-09    1.4347269579741463e-09
270    3.1690957874080016e-09    1.3422865735867589e-09
272    3.122662777114556e-09    1.2558021828594847e-09
274    3.077242832623519e-09    1.1748900372746759e-09
276    3.0328066963616276e-09    1.0991911134794904e-09
278    2.989326159386721e-09    1.0283695202275458e-09
