r            U(r)
160  1.2724538389582302e-19
170  -2.3281884791156543e-19
180  -4.762830102096111e-19
190  -6.373545528253475e-19
200  -7.404283344168473e-19
210  -8.028792918839389e-19
220  -8.370633973278076e-19
230  -8.51750730444969e-19
240  -8.53151394610991e-19
250  -8.456496262555223e-19
260  -8.323288420005728e-19
270  -8.153469564864439e-19
280  -7.962045021888222e-19
290  -7.75936029552123e-19
300  -7.552466222500618e-19
310  -7.346091656985918e-19
320  -7.143335655986975e-19
330  -6.9461593082211e-19
340  -6.75573455090277e-19
350  -6.572690990359641e-19
360  -6.397290050588915e-19
370  -6.229547404451834e-19
380  -6.069318652827595e-19
390  -5.916358932302628e-19
400  -5.77036406784674e-19
410  -5.630998696636355e-19
420  -5.497915224300965e-19
430  -5.370766357462679e-19
440  -5.249213159096908e-19
450  -5.132930004745086e-19
